kirje,Inventuurid_inventuur,Tooted_toode,kogus
1,1,0,0
2,1,1,0
3,1,2,0
4,1,3,16
5,1,4,0
6,1,6,0
7,1,8,0
8,1,9,0
9,1,10,0
10,1,11,38
11,1,20,3
12,1,24,0
13,1,209,5
14,1,25,4
15,1,27,9
16,1,40,135
17,1,52,21
18,1,54,0
19,1,56,0
20,1,67,0
21,1,68,80
22,1,74,0
23,1,75,145
24,1,83,27
25,1,102,95
26,1,112,0
27,1,113,0
28,1,116,0
29,1,120,0
30,1,122,0
31,1,135,0
32,1,140,0
33,1,150,0
34,1,152,0
35,1,153,0
36,1,154,0
37,1,155,0
38,1,156,15
39,1,157,0
40,1,158,0
41,1,159,0
42,1,162,0
43,1,163,0
44,1,164,130
45,1,166,0
46,1,169,18
47,1,170,0
48,1,172,5
49,1,175,0
50,1,178,0
51,1,179,0
52,1,180,0
53,1,181,0
54,1,182,0
55,1,183,0
56,1,185,0
57,1,186,0
58,1,188,0
59,1,195,12
60,1,196,0
61,1,197,0
62,1,198,0
63,1,199,0
64,1,200,0
65,1,201,0
66,1,202,0
67,1,203,0
68,1,204,0
69,1,205,0
70,1,206,0
71,1,207,0
72,1,208,0
73,1,210,0
74,1,211,0
75,1,212,0
76,1,213,0
77,1,214,0
78,1,215,0
79,1,216,1
80,2,1,113
81,2,2,77
82,2,216,36
83,2,195,24
84,2,213,40
85,2,204,19
86,2,52,12
87,2,40,135
88,2,102,85
89,2,68,90
90,2,122,25
91,2,164,80
92,2,75,145
93,2,172,4
94,2,20,3
95,2,27,8
96,2,25,2
97,2,8,50
98,2,11,19
99,2,169,1
100,3,1,101
101,3,2,74
102,3,8,50
103,3,11,17
104,3,20,3
105,3,209,5
106,3,25,2
107,3,27,8
108,3,52,11
109,3,169,0
110,3,172,3
111,3,195,12
112,3,204,18
113,3,213,40
114,3,216,24
115,3,164,80
116,3,122,25
117,3,102,85
118,3,75,145
119,3,68,90
120,3,3,0
121,4,11,30
122,4,204,37
123,4,216,32
124,4,4,4
125,4,207,20
126,4,83,30
127,4,52,6
128,4,164,80
129,4,75,80
130,4,40,135
131,4,102,85
132,4,2,20
133,4,68,90
134,4,122,25
135,4,172,4
136,4,195,30
137,4,213,20
138,4,169,0
139,4,8,50
140,4,1,0
141,4,20,3
142,4,209,5
143,4,25,2
144,4,27,7
145,5,40,135
146,5,68,90
147,5,75,80
148,5,102,85
149,5,122,25
150,5,164,80
151,5,172,4
152,5,27,4
153,5,25,0
154,5,8,50
155,5,2,142
156,5,170,26
157,5,207,2
158,5,204,4
159,5,11,17
160,5,216,17
161,5,213,11
162,5,52,10
163,5,1,120
164,6,1,24
165,6,2,20
166,6,8,50
167,6,11,7
168,6,20,3
169,6,27,0
170,6,40,135
171,6,52,4
172,6,68,90
173,6,75,80
174,6,102,85
175,6,122,0
176,6,164,80
177,6,170,0
178,6,172,0
179,6,195,17
180,6,204,0
181,6,207,0
182,6,213,4
183,6,216,14
184,6,10,68
185,6,181,1
186,7,0,0
187,7,1,0
188,7,2,0
189,7,3,0
190,7,4,0
191,7,6,16
192,7,8,30
193,7,9,0
194,7,10,35
195,7,11,0
196,7,40,110
197,7,52,2
198,7,56,0
199,7,67,0
200,7,68,15
201,7,74,0
202,7,75,30
203,7,83,0
204,7,102,95
205,7,113,0
206,7,140,0
207,7,150,0
208,7,153,0
209,7,154,0
210,7,155,0
211,7,156,0
212,7,157,0
213,7,158,10
214,7,164,25
215,7,169,0
216,7,170,0
217,7,172,0
218,7,175,0
219,7,181,0
220,7,195,10
221,7,199,0
222,7,200,0
223,7,203,0
224,7,204,0
225,7,206,0
226,7,207,0
227,7,210,0
228,7,211,0
229,7,212,0
230,7,213,ühik?
231,7,215,0
232,7,216,0
233,8,1,43
234,8,2,20
235,8,3,62
236,8,4,48
237,8,11,18
238,8,52,4
239,8,169,43
240,8,195,41
241,8,204,22
242,8,215,57
243,8,216,9
244,9,1,38
245,9,2,20
246,9,3,62
247,9,4,41
248,9,11,19
249,9,40,110
250,9,52,4
251,9,68,7
252,9,75,30
253,9,158,10
254,9,164,15
255,9,169,35
256,9,195,41
257,9,204,21
258,9,215,56
259,9,216,9
260,10,1,37
261,10,2,33
262,10,3,20
263,10,4,103
264,10,8,140
265,10,9,35
266,10,10,30
267,10,40,110
268,10,52,21
269,10,68,105
270,10,75,110
271,10,102,50
272,10,164,15
273,10,169,20
274,10,170,62
275,10,172,5
276,10,195,7
277,10,196,6
278,10,204,12
279,10,215,30
280,10,216,12
281,11,1,35
282,11,2,32
283,11,3,20
284,11,4,101
285,11,8,140
286,11,9,35
287,11,10,25
288,11,40,110
289,11,52,21
290,11,68,105
291,11,75,110
292,11,102,50
293,11,158,10
294,11,164,15
295,11,169,20
296,11,170,58
297,11,172,5
298,11,195,24
299,11,196,6
300,11,204,12
301,11,215,29
302,11,216,11
303,12,2,8
304,12,8,110
305,12,9,10
306,12,10,20
307,12,40,110
308,12,52,3
309,12,68,70
310,12,75,65
311,12,102,110
312,12,158,70
313,12,164,10
314,12,172,4
315,12,195,6
316,12,196,4
317,12,213,29
318,13,1,246
319,13,2,285
320,13,3,177
321,13,4,391
322,13,6,0
323,13,8,226
324,13,9,0
325,13,10,120
326,13,11,108
327,13,25,0
328,13,27,0
329,13,40,80
330,13,52,323
331,13,67,0
332,13,68,255
333,13,74,320
334,13,75,70
335,13,83,101
336,13,102,110
337,13,104,150
338,13,140,6
339,13,158,120
340,13,164,230
341,13,166,90
342,13,169,18
343,13,170,0
344,13,172,2.5
345,13,175,0
346,13,204,105
347,13,216,84
348,14,0,konjah
349,15,25,3
350,15,27,7
351,15,178,
352,15,67,50
353,15,102,45
354,15,9,45
355,15,166,4
356,15,75,100
357,15,68,190
358,15,217,40
359,15,158,68
360,15,1,vana ta123
361,15,4,384
362,15,214,12
363,15,156,43
364,15,216,12
365,15,212,20
366,15,11,19
367,15,52,215
368,15,3,2
369,16,1,200
370,16,2,195
371,16,3,113
372,16,4,100
373,16,6,120
374,16,8,225
375,16,9,50
376,16,11,72
377,16,17,17
378,16,52,182
379,16,67,40
380,16,68,190
381,16,74,55
382,16,75,200
383,16,10,15
384,16,146,5
385,16,157,16
386,16,158,60
387,16,169,1
388,16,170,60
389,16,181,11
390,16,195,60
391,16,204,52
392,16,209,3
393,16,214,15
394,16,216,4
395,16,218,108
396,18,1,2
397,18,2,1
398,18,3,0
399,18,4,12
400,18,11,9
401,18,17,20
402,18,52,44
403,18,153,5
404,18,157,17
405,18,175,1
406,18,204,7
407,18,215,14
408,18,216,13
409,18,218,9
410,18,222,15
411,18,212,26
412,18,213,13
413,18,195,11
414,18,9,150
415,18,67,200
416,18,223,250
417,18,187,140
418,18,68,70
419,18,102,140
420,18,217,10
421,18,75,100
422,18,158,70
423,18,154,70
424,18,173,100
425,18,8,300
426,18,178,11
427,18,25,10
428,18,226,5414
429,18,145,2
430,18,172,8
431,18,170,18
432,18,152,8
433,18,112,5
434,18,24,8
