toode,Kategooriad_kategooria,hind,nimi,ostuhind,kuvatav,inventeeritav
0,11,1,Raha,0,0,0
1,1,1.4,Premium,,1,1
2,1,1,Premium Purk 0.33L,,0,0
3,1,2,Must Nunn,,0,0
4,1,1.2,Pilsner,,1,1
8,3,0.4,Viin,,0,0
11,4,0.8,Limonaad,,1,1
16,16,1.7,G:N Longero 0.5L,,1,1
18,7,2.2,Piraat,,0,0
19,8,1.5,Estrella,,0,0
20,7,0.7,Kartulipuder,,0,0
21,7,28,Makaroniroog,23.4,0,0
24,7,2.6,Pilaff,,0,0
25,7,2,Pelmeenid,2.160714285714288,0,0
27,7,1,Kalapulgad,,0,0
39,1,1.5,Kriek Ale,,0,0
40,3,0.5,Metaxa,0.5,0,0
50,0,0.2,Tee,50,0,0
54,4,1.2,Mullivesi 1.5L,,0,0
56,1,1,Somersby,1,0,0
61,3,4,Johnny Walker Red Label,2.65,0,0
63,8,1.2,Tuc küpsised,1.2,0,0
68,3,0.4,Peninuki rumm,,0,0
70,8,0.7,Kit Kat,,0,0
72,10,1,Raha,0,0,0
74,3,0.9,Chateau De Montifaud,,0,0
75,3,1,0.4,,0,0
76,7,22,Felix kiirtoit,20,0,0
82,8,6,Mexicorn,4.55,0,0
93,7,7,KitKat,5,0,0
95,3,3.5,Golden age,2.08,0,0
96,7,15,Paneeritud kroketid,10.9,0,0
97,7,8,Krabimaitseline pulk,4.9,0,0
98,5,35,"Gato Negro 37,5cl",25,0,0
100,1,2,Double Bock,,0,0
102,3,0.6,Tekiila,,0,0
103,5,35,šampus,29,0,0
105,0,0.2,Valuvaigisti,4.06,0,0
106,0,0.3,Masinakohv,3,0,0
107,4,1.5,Vitamineral,,0,0
108,0,7,Suits,,0,0
110,5,75,Old Tbilisi,57.9,0,0
111,7,25,Aedoad tomatikastmes,18.6,0,0
113,1,0.4,Sisseandmine,,0,0
116,1,1.65,McCallums,0.2,0,0
117,3,0.3,Jim Beam,,0,0
120,7,1,Baguette,0.75,0,0
121,7,1.3,Tupla,,1,1
130,7,16,Kartuli-hernepuder,12,0,0
135,11,-1,Ettemaks,19872084449495116,1,0
149,7,2.6,Makaroniroog,,0,0
150,1,1.8,Warsteiner,,1,1
152,7,2.6,Kodune seljanka,,0,0
153,4,1.1,Värska mineraalvesi 1L,,0,0
154,3,0.6,Ballantines,,0,0
155,9,0.5,Halb nali,0,0,0
156,1,2,Grimb/Troll/Hoeg/Bud,1.5,0,0
158,3,0.35,Red Label (viski),,0,0
162,8,0.85,Daim,0.8500000000000002,0,0
163,12,0.2,Käterätiku kasutus,1,0,0
164,3,0.4,Martini,,0,0
166,3,0.65,Absint,,0,0
169,7,1.2,Kismet,,1,1
173,3,0.5,Galliano,,0,0
178,7,1.6,Friikartul 500g,,0,0
179,7,2.5,Mehhiko pada,2.2,0,0
180,7,0.7,Popcorn,,0,0
183,8,0.5,Twixilaadne toode,,0,0
186,12,0.25,Hommikumantli kasutus,,0,0
187,3,0.5,Baileys,,0,0
190,3,2.5,Gin ja Tonic,1.6,0,0
192,3,0.6,Tequila,,0,0
194,3,0.4,Ouzo,1,0,0
195,4,0.8,Kelluke,,0,0
197,4,0.9,Pepsi 0.5,,0,0
199,1,2.5,vil! Käpa IPA,0.08571428571428572,0,0
201,11,1,Esitatud arve,1,0,0
204,4,1.6,ØRN Toonik,,1,1
205,5,5,Wõlu,,0,0
206,4,1,Schweppes 0.5l,1,0,0
207,4,2.25,Cola 1.5L,,0,0
208,16,1.7,Karksi Õunasiider,,1,1
212,1,2.5,Käpa õlu 0.33,,0,0
227,7,0.5,Croissant,,0,0
231,4,0.8,Kali,,1,1
236,7,2,Krõpsud Taffel (SUURED),,0,0
242,16,1.8,Hoggys Longero 0.5L,,0,0
313,3,1,Jägermeister,,0,0
315,7,0.9,Snickers,0.030000000000000002,0,0
318,11,1,Muu repart,,1,0
326,1,1.3,Le Coq Abbey,1.3,0,0
327,1,1.3,Le Coq Blanche,1.3,0,0
331,3,0.4,Amaretto,,0,0
332,4,1.1,Fassbrause,,1,1
338,3,0.35,Limoncello,,0,0
340,4,0.5,Pepsi,,0,0
344,3,0.45,Riia Palsam,,0,0
345,4,2.6,Schweppes Toonik,,0,0
349,1,1.95,König Ludwig,,0,0
355,1,1.8,Punane Papp,,0,0
356,11,1.5,Ukraina lint,4.25,0,0
358,1,1.4,Alexander,,1,1
359,16,1.5,Hoggys siider 0.33L,,0,0
360,16,1.5,Hoggys HARD siider,,0,0
368,1,3,Kriek,,0,0
380,4,1,ALKOVABA õlu🍺,,1,1
382,4,1,xd,,0,0
384,3,0.75,Stroh 80°,,0,0
386,4,2,MØNSTER Energy,,0,0
390,3,1,Saaremaa Dry Gin,,0,0
393,4,0.15,Ingverirüübe (1cl),,0,0
397,1,2,Franconian,-0.07459935897435921,0,0
399,11,10,Vessu tubakas (1 pakk),-0.6597402597402595,0,0
400,11,0.5,Vesipiibu süsi,,0,0
407,3,0.35,MINTTU,,0,0
409,4,0.9,Toonik 0.33,0.09361471861471861,0,0
412,4,1.5,Alkovaba Glögi (kapis),,0,0
413,3,0.4,ARARAT,,0,0
414,3,0.6,JW Black Label,,0,0
415,1,2,Winter Stout,0.3125,0,0
416,1,1.5,Double Bock,,0,0
417,1,2.3,Hacker Pschorr,,0,0
418,5,14,Portvein,-2251799813685247.5,0,0
420,7,1.75,Külmutatud kalapulgad,,0,0
421,15,5,Chimay Blue,,0,0
422,15,4.5,Triple Karmeliet,,0,0
