inventuur,algus,lopp,teostaja,kommentaar
1,2012-10-05 16:08:12,2012-11-20 20:59:35,,
2,2012-11-21 20:23:35,2012-11-27 21:29:31,,
3,2012-11-28 21:17:25,2012-11-28 21:24:01,,
4,2012-12-04 21:10:39,2012-12-04 21:27:10,,
5,2012-12-17 19:24:42,2012-12-18 21:33:34,,
6,2012-12-22 21:18:18,2012-12-22 21:41:42,,
7,2013-02-17 21:25:37,2013-02-17 21:48:25,,
8,2013-02-22 21:30:38,2013-02-22 21:47:11,,
9,2013-02-23 21:55:48,2013-02-23 22:00:42,,
10,2013-03-04 21:21:38,2013-03-04 21:27:13,,
11,2013-03-05 20:53:49,2013-03-05 20:57:15,,
12,2013-03-17 21:47:09,2013-03-17 21:50:37,,
13,2013-03-18 21:52:01,2013-05-08 20:29:54,,
14,2013-09-04 15:19:01,2013-09-17 21:06:25,,
15,2013-09-18 20:02:27,2013-10-30 21:59:36,,
16,2013-12-16 20:59:49,2013-12-16 21:09:07,,
17,2014-03-18 20:53:23,2014-03-21 21:25:39,,
18,2014-09-20 20:22:38,2014-09-20 20:35:21,,
